construct,replicate,firefly,renilla
shha_promoter_WT,1,119236,103289
shha_promoter_WT,2,90753,99482
shha_promoter_WT,3,127569,100754
shha_promoter_WT,4,120037,98083
shha_promoter_motifmut,1,21135,108923
shha_promoter_motifmut,2,16936,107212
shha_promoter_motifmut,3,21270,106327
shha_promoter_motifmut,4,20077,97713
minimal_promoter_only,1,10267,94735
minimal_promoter_only,2,12113,97563
minimal_promoter_only,3,9477,97187
minimal_promoter_only,4,7834,92932
enhancer_orientA,1,102120,108807
enhancer_orientA,2,82423,108723
enhancer_orientA,3,82431,97409
enhancer_orientA,4,98711,93650
enhancer_orientB,1,82176,101452
enhancer_orientB,2,86376,108173
enhancer_orientB,3,82937,95906
enhancer_orientB,4,86225,104931
empty_vector,1,7197,109353
empty_vector,2,11005,98089
empty_vector,3,7092,90379
empty_vector,4,6977,99492
