spot,region
spot000,neural_tube
spot001,neural_tube
spot002,neural_tube
spot003,neural_tube
spot004,neural_tube
spot005,neural_tube
spot006,neural_tube
spot007,neural_tube
spot008,neural_tube
spot009,neural_tube
spot010,neural_tube
spot011,neural_tube
spot012,neural_tube
spot013,neural_tube
spot014,neural_tube
spot015,neural_tube
spot016,neural_tube
spot017,neural_tube
spot018,neural_tube
spot019,neural_tube
spot020,neural_tube
spot021,neural_tube
spot022,neural_tube
spot023,neural_tube
spot024,neural_tube
spot025,neural_tube
spot026,neural_tube
spot027,neural_tube
spot028,neural_tube
spot029,neural_tube
spot030,neural_tube
spot031,neural_tube
spot032,neural_tube
spot033,neural_tube
spot034,neural_tube
spot035,neural_tube
spot036,neural_tube
spot037,neural_tube
spot038,neural_tube
spot039,neural_tube
spot040,neural_tube
spot041,neural_tube
spot042,neural_tube
spot043,neural_tube
spot044,neural_tube
spot045,neural_tube
spot046,neural_tube
spot047,neural_tube
spot048,neural_tube
spot049,neural_tube
spot050,neural_tube
spot051,neural_tube
spot052,neural_tube
spot053,neural_tube
spot054,neural_tube
spot055,neural_tube
spot056,neural_tube
spot057,neural_tube
spot058,neural_tube
spot059,neural_tube
spot060,neural_tube
spot061,neural_tube
spot062,neural_tube
spot063,neural_tube
spot064,neural_tube
spot065,neural_tube
spot066,neural_tube
spot067,neural_tube
spot068,neural_tube
spot069,neural_tube
spot070,neural_tube
spot071,neural_tube
spot072,neural_tube
spot073,neural_tube
spot074,neural_tube
spot075,neural_tube
spot076,neural_tube
spot077,neural_tube
spot078,neural_tube
spot079,neural_tube
spot080,notochord
spot081,notochord
spot082,notochord
spot083,somites
spot084,somites
spot085,somites
spot086,somites
spot087,somites
spot088,somites
spot089,somites
spot090,somites
spot091,somites
spot092,somites
spot093,somites
spot094,somites
spot095,somites
spot096,somites
spot097,somites
spot098,notochord
spot099,notochord
spot100,notochord
spot101,notochord
spot102,notochord
spot103,somites
spot104,somites
spot105,somites
spot106,somites
spot107,somites
spot108,somites
spot109,somites
spot110,somites
spot111,somites
spot112,somites
spot113,somites
spot114,somites
spot115,somites
spot116,somites
spot117,somites
spot118,notochord
spot119,notochord
spot120,notochord
spot121,notochord
spot122,notochord
spot123,somites
spot124,somites
spot125,somites
spot126,somites
spot127,somites
spot128,somites
spot129,somites
spot130,somites
spot131,somites
spot132,somites
spot133,somites
spot134,somites
spot135,somites
spot136,somites
spot137,somites
spot138,notochord
spot139,notochord
spot140,notochord
spot141,notochord
spot142,notochord
spot143,somites
spot144,somites
spot145,somites
spot146,somites
spot147,somites
spot148,somites
spot149,somites
spot150,somites
spot151,somites
spot152,somites
spot153,somites
spot154,somites
spot155,somites
spot156,somites
spot157,somites
spot158,notochord
spot159,notochord
spot160,notochord
spot161,notochord
spot162,notochord
spot163,notochord
spot164,notochord
spot165,notochord
spot166,notochord
spot167,notochord
spot168,notochord
spot169,notochord
spot170,notochord
spot171,notochord
spot172,notochord
spot173,notochord
spot174,notochord
spot175,notochord
spot176,notochord
spot177,notochord
spot178,notochord
spot179,notochord
spot180,neural_tube
spot181,neural_tube
spot182,neural_tube
spot183,neural_tube
spot184,neural_tube
spot185,neural_tube
spot186,neural_tube
spot187,neural_tube
spot188,neural_tube
spot189,neural_tube
spot190,neural_tube
spot191,neural_tube
spot192,neural_tube
spot193,neural_tube
spot194,neural_tube
spot195,neural_tube
spot196,neural_tube
spot197,neural_tube
spot198,neural_tube
spot199,neural_tube
