cell,latent_label,transition_flag,extra
cell0000,muscle,0,0
cell0001,neural,0,0
cell0002,blood,0,0
cell0003,blood,0,0
cell0004,muscle,0,0
cell0005,muscle,0,0
cell0006,blood,0,0
cell0007,transition,0,0
cell0008,transition,0,0
cell0009,transition,0,0
cell0010,neural,0,0
cell0011,neural,0,0
cell0012,blood,0,0
cell0013,neural,0,0
cell0014,blood,0,0
cell0015,transition,0,0
cell0016,blood,0,0
cell0017,blood,0,0
cell0018,blood,0,0
cell0019,muscle,0,0
cell0020,muscle,0,0
cell0021,neural,0,0
cell0022,blood,0,0
cell0023,neural,0,0
cell0024,neural,0,0
cell0025,blood,0,0
cell0026,blood,0,0
cell0027,neural,0,0
cell0028,neural,0,0
cell0029,blood,0,0
cell0030,neural,0,0
cell0031,neural,0,0
cell0032,neural,0,0
cell0033,neural,0,0
cell0034,blood,0,0
cell0035,neural,0,0
cell0036,neural,0,0
cell0037,blood,0,0
cell0038,blood,0,0
cell0039,blood,0,0
cell0040,transition,0,0
cell0041,blood,0,0
cell0042,muscle,0,0
cell0043,muscle,0,0
cell0044,blood,0,0
cell0045,neural,0,0
cell0046,neural,0,0
cell0047,blood,0,0
cell0048,blood,0,0
cell0049,neural,0,0
cell0050,muscle,0,0
cell0051,muscle,0,0
cell0052,muscle,0,0
cell0053,muscle,0,0
cell0054,blood,0,0
cell0055,blood,0,0
cell0056,blood,0,0
cell0057,neural,0,0
cell0058,transition,0,0
cell0059,blood,0,0
cell0060,muscle,0,0
cell0061,blood,0,0
cell0062,transition,0,0
cell0063,blood,0,0
cell0064,transition,0,0
cell0065,muscle,0,0
cell0066,neural,0,0
cell0067,neural,0,0
cell0068,muscle,0,0
cell0069,blood,0,0
cell0070,muscle,0,0
cell0071,blood,0,0
cell0072,blood,0,0
cell0073,blood,0,0
cell0074,neural,0,0
cell0075,transition,0,0
cell0076,blood,0,0
cell0077,neural,0,0
cell0078,neural,0,0
cell0079,blood,0,0
cell0080,neural,0,0
cell0081,transition,0,0
cell0082,neural,0,0
cell0083,muscle,0,0
cell0084,muscle,0,0
cell0085,blood,0,0
cell0086,blood,0,0
cell0087,muscle,0,0
cell0088,blood,0,0
cell0089,muscle,0,0
cell0090,blood,0,0
cell0091,neural,0,0
cell0092,muscle,0,0
cell0093,blood,0,0
cell0094,neural,0,0
cell0095,neural,0,0
cell0096,blood,0,0
cell0097,neural,0,0
cell0098,neural,0,0
cell0099,muscle,0,0
cell0100,blood,0,0
cell0101,neural,0,0
cell0102,transition,0,0
cell0103,neural,0,0
cell0104,blood,0,0
cell0105,blood,0,0
cell0106,neural,0,0
cell0107,neural,0,0
cell0108,muscle,0,0
cell0109,neural,0,0
cell0110,neural,0,0
cell0111,blood,0,0
cell0112,blood,0,0
cell0113,blood,0,0
cell0114,transition,0,0
cell0115,transition,0,0
cell0116,neural,0,0
cell0117,muscle,0,0
cell0118,neural,0,0
cell0119,muscle,0,0
cell0120,blood,0,0
cell0121,blood,0,0
cell0122,neural,0,0
cell0123,blood,0,0
cell0124,blood,0,0
cell0125,blood,0,0
cell0126,muscle,0,0
cell0127,neural,0,0
cell0128,neural,0,0
cell0129,blood,0,0
cell0130,transition,0,0
cell0131,transition,0,0
cell0132,muscle,0,0
cell0133,neural,0,0
cell0134,neural,0,0
cell0135,transition,0,0
cell0136,blood,0,0
cell0137,blood,0,0
cell0138,neural,0,0
cell0139,neural,0,0
cell0140,neural,0,0
cell0141,neural,0,0
cell0142,neural,0,0
cell0143,transition,0,0
cell0144,blood,0,0
cell0145,blood,0,0
cell0146,neural,0,0
cell0147,neural,0,0
cell0148,neural,0,0
cell0149,neural,0,0
cell0150,blood,0,0
cell0151,transition,0,0
cell0152,blood,0,0
cell0153,blood,0,0
cell0154,blood,0,0
cell0155,muscle,0,0
cell0156,transition,0,0
cell0157,blood,0,0
cell0158,neural,0,0
cell0159,muscle,0,0
cell0160,neural,0,0
cell0161,neural,0,0
cell0162,neural,0,0
cell0163,blood,0,0
cell0164,neural,0,0
cell0165,muscle,0,0
cell0166,neural,0,0
cell0167,transition,0,0
cell0168,neural,0,0
cell0169,blood,0,0
cell0170,blood,0,0
cell0171,neural,0,0
cell0172,neural,0,0
cell0173,muscle,0,0
cell0174,blood,0,0
cell0175,blood,0,0
cell0176,neural,0,0
cell0177,muscle,0,0
cell0178,muscle,0,0
cell0179,muscle,0,0
cell0180,muscle,0,0
cell0181,transition,0,0
cell0182,muscle,0,0
cell0183,transition,0,0
cell0184,muscle,0,0
cell0185,blood,0,0
cell0186,neural,0,0
cell0187,blood,0,0
cell0188,neural,0,0
cell0189,muscle,0,0
cell0190,muscle,0,0
cell0191,transition,0,0
cell0192,muscle,0,0
cell0193,muscle,0,0
cell0194,transition,0,0
cell0195,neural,0,0
cell0196,blood,0,0
cell0197,blood,0,0
cell0198,transition,0,0
cell0199,blood,0,0
cell0200,transition,0,0
cell0201,transition,0,0
cell0202,neural,0,0
cell0203,neural,0,0
cell0204,blood,0,0
cell0205,transition,0,0
cell0206,neural,0,0
cell0207,neural,0,0
cell0208,blood,0,0
cell0209,blood,0,0
cell0210,neural,0,0
cell0211,blood,0,0
cell0212,neural,0,0
cell0213,muscle,0,0
cell0214,muscle,0,0
cell0215,neural,0,0
cell0216,muscle,0,0
cell0217,blood,0,0
cell0218,neural,0,0
cell0219,blood,0,0
cell0220,blood,0,0
cell0221,blood,0,0
cell0222,neural,0,0
cell0223,transition,0,0
cell0224,muscle,0,0
cell0225,blood,0,0
cell0226,neural,0,0
cell0227,neural,0,0
cell0228,muscle,0,0
cell0229,blood,0,0
cell0230,neural,0,0
cell0231,neural,0,0
cell0232,neural,0,0
cell0233,blood,0,0
cell0234,transition,0,0
cell0235,transition,0,0
cell0236,transition,0,0
cell0237,transition,0,0
cell0238,blood,0,0
cell0239,muscle,0,0
cell0240,transition,0,0
cell0241,blood,0,0
cell0242,muscle,0,0
cell0243,transition,0,0
cell0244,transition,0,0
cell0245,blood,0,0
cell0246,neural,0,0
cell0247,blood,0,0
cell0248,neural,0,0
cell0249,muscle,0,0
cell0250,muscle,0,0
cell0251,muscle,0,0
cell0252,neural,0,0
cell0253,neural,0,0
cell0254,neural,0,0
cell0255,blood,0,0
cell0256,muscle,0,0
cell0257,muscle,0,0
cell0258,neural,0,0
cell0259,transition,0,0
