gene,stage_hpf,replicate,Cq
shha,10,1,24.12
shha,10,2,23.79
shha,10,3,24.09
shha,10,4,23.76
shha,12,1,24.52
shha,12,2,24.29
shha,12,3,24.25
shha,12,4,24.13
shha,18,1,24.51
shha,18,2,24.16
shha,18,3,24.09
shha,18,4,24.11
shha,24,1,24.23
shha,24,2,24.19
shha,24,3,24.20
shha,24,4,24.21
myod1,10,1,27.54
myod1,10,2,26.90
myod1,10,3,26.87
myod1,10,4,26.80
myod1,12,1,26.75
myod1,12,2,26.88
myod1,12,3,26.57
myod1,12,4,26.39
myod1,18,1,23.89
myod1,18,2,24.26
myod1,18,3,24.29
myod1,18,4,24.24
myod1,24,1,23.73
myod1,24,2,23.96
myod1,24,3,23.93
myod1,24,4,23.95
pax6a,10,1,26.22
pax6a,10,2,26.06
pax6a,10,3,26.17
pax6a,10,4,26.02
pax6a,12,1,24.87
pax6a,12,2,24.96
pax6a,12,3,24.44
pax6a,12,4,24.72
pax6a,18,1,23.88
pax6a,18,2,23.84
pax6a,18,3,23.93
pax6a,18,4,24.37
pax6a,24,1,23.68
pax6a,24,2,24.14
pax6a,24,3,23.48
pax6a,24,4,23.82
ef1a,10,1,16.04
ef1a,10,2,16.15
ef1a,10,3,16.18
ef1a,10,4,16.20
ef1a,12,1,15.91
ef1a,12,2,15.88
ef1a,12,3,16.21
ef1a,12,4,15.95
ef1a,18,1,15.68
ef1a,18,2,15.72
ef1a,18,3,15.77
ef1a,18,4,16.12
ef1a,24,1,16.04
ef1a,24,2,16.17
ef1a,24,3,15.89
ef1a,24,4,16.04
rpl13a,10,1,16.56
rpl13a,10,2,16.32
rpl13a,10,3,16.51
rpl13a,10,4,16.23
rpl13a,12,1,16.36
rpl13a,12,2,16.35
rpl13a,12,3,16.15
rpl13a,12,4,16.57
rpl13a,18,1,16.23
rpl13a,18,2,16.35
rpl13a,18,3,16.47
rpl13a,18,4,16.46
rpl13a,24,1,16.57
rpl13a,24,2,16.38
rpl13a,24,3,16.29
rpl13a,24,4,16.38
