gene,WT_rep1,WT_rep2,WT_rep3,KO_rep1,KO_rep2,KO_rep3
g001,117,110,127,124,118,112
g002,67,79,61,80,80,74
g003,92,57,81,83,57,80
g004,202,191,202,211,211,198
g005,178,173,181,179,170,191
g006,179,142,134,163,155,168
g007,91,89,113,105,102,89
g008,179,186,209,193,208,198
g009,169,150,159,167,162,150
g010,135,148,156,176,161,154
g011,133,115,114,9,8,6
g012,104,75,115,6,6,6
g013,76,76,67,5,5,5
g014,174,179,196,13,14,11
g015,130,109,139,9,7,8
g016,99,91,101,728,680,760
g017,100,103,87,800,736,744
g018,149,137,150,1216,1248,984
g019,92,82,88,656,824,608
g020,176,165,173,1352,1520,1368
g021,153,165,135,1328,1248,1144
g022,153,141,165,1176,1168,1312
g023,114,117,130,1144,1096,904
g024,135,146,155,1312,1192,1104
g025,152,141,143,1008,1352,1360
g026,153,142,134,1152,1200,1216
g027,78,62,68,544,600,640
g028,137,123,97,832,976,1096
g029,71,70,65,62,70,78
g030,134,154,137,131,129,126
g031,101,104,90,111,96,119
g032,85,74,74,95,81,101
g033,68,72,86,73,85,76
g034,147,133,163,152,142,133
g035,78,86,76,95,72,71
g036,173,194,172,180,196,205
g037,139,141,123,140,115,136
g038,120,106,117,108,96,92
g039,144,117,140,155,128,155
g040,71,61,57,63,62,56
g041,205,171,179,177,192,213
g042,118,120,130,140,89,131
g043,160,180,172,160,162,176
g044,84,71,88,64,63,64
g045,117,116,142,123,123,132
g046,111,113,113,138,101,123
g047,194,191,187,173,178,209
g048,135,138,161,136,138,139
g049,128,121,109,134,116,135
g050,100,94,100,99,105,97
g051,101,103,99,115,107,96
g052,148,115,132,130,130,144
g053,114,136,122,128,127,125
g054,62,56,55,51,61,90
g055,182,181,173,209,184,196
g056,212,167,201,187,188,183
g057,106,71,104,91,68,81
g058,145,136,133,119,148,159
g059,51,67,68,65,67,89
g060,159,166,148,143,181,165
g061,89,104,97,106,119,85
g062,153,152,149,156,157,171
g063,167,159,177,156,157,175
g064,177,156,151,172,187,152
g065,70,87,80,71,65,70
g066,190,163,200,202,203,183
g067,91,84,87,80,86,84
g068,80,69,73,51,65,63
g069,139,121,155,134,141,132
g070,105,101,135,124,101,123
g071,198,183,165,213,173,166
g072,184,188,161,186,169,168
g073,94,104,109,101,96,112
g074,192,179,185,215,183,183
g075,122,92,98,89,110,118
g076,146,125,141,140,148,141
g077,103,82,96,98,88,101
g078,177,214,185,169,209,204
g079,78,79,87,89,83,79
g080,84,73,77,78,67,60
g081,128,129,120,125,137,116
g082,192,186,180,181,202,204
g083,190,193,179,170,175,174
g084,158,180,175,153,185,167
g085,187,189,167,192,160,181
g086,173,195,200,196,185,210
g087,134,141,133,153,132,131
g088,95,113,93,99,102,96
g089,168,157,158,173,193,169
g090,145,172,144,154,153,149
g091,107,98,125,103,114,106
g092,77,57,75,83,76,72
g093,184,149,171,168,164,164
g094,88,92,101,105,103,96
g095,180,179,188,223,193,208
g096,97,96,101,100,93,101
g097,68,76,83,88,88,80
g098,166,155,170,175,168,192
g099,92,102,69,81,71,60
g100,73,83,79,88,89,84
g101,156,145,138,126,169,147
g102,174,188,180,166,181,175
g103,75,107,88,85,87,80
g104,116,97,100,97,100,109
g105,176,163,177,163,171,189
g106,177,207,200,189,197,181
g107,122,113,122,122,126,125
g108,66,71,80,75,93,88
g109,57,69,66,69,64,50
g110,90,91,89,105,106,87
g111,76,78,74,76,88,79
g112,168,146,137,163,158,131
g113,70,90,72,83,67,89
g114,151,115,156,126,128,148
g115,165,151,141,152,149,152
g116,137,133,137,142,137,160
g117,69,87,90,95,94,91
g118,183,190,175,189,169,166
g119,148,178,148,164,152,169
g120,192,162,161,164,167,159
g121,74,69,78,52,76,70
g122,79,79,87,75,89,79
g123,175,199,199,207,167,178
g124,113,115,127,115,121,108
g125,98,101,96,98,115,89
g126,142,115,137,131,124,120
g127,136,156,162,165,155,146
g128,190,193,182,175,205,215
g129,81,104,111,103,103,98
g130,176,189,158,193,196,195
g131,66,66,58,74,51,56
g132,150,141,136,146,133,123
g133,144,149,131,161,159,131
g134,97,87,76,84,69,76
g135,79,67,72,69,81,69
