spot,x,y
spot000,0.0,0.0
spot001,0.1,0.0
spot002,0.2,0.0
spot003,0.3,0.0
spot004,0.4,0.0
spot005,0.5,0.0
spot006,0.6,0.0
spot007,0.7,0.0
spot008,0.8,0.0
spot009,0.9,0.0
spot010,1.0,0.0
spot011,1.1,0.0
spot012,1.2,0.0
spot013,1.3,0.0
spot014,1.4,0.0
spot015,1.5,0.0
spot016,1.6,0.0
spot017,1.7,0.0
spot018,1.8,0.0
spot019,1.9,0.0
spot020,0.0,0.1
spot021,0.1,0.1
spot022,0.2,0.1
spot023,0.3,0.1
spot024,0.4,0.1
spot025,0.5,0.1
spot026,0.6,0.1
spot027,0.7,0.1
spot028,0.8,0.1
spot029,0.9,0.1
spot030,1.0,0.1
spot031,1.1,0.1
spot032,1.2,0.1
spot033,1.3,0.1
spot034,1.4,0.1
spot035,1.5,0.1
spot036,1.6,0.1
spot037,1.7,0.1
spot038,1.8,0.1
spot039,1.9,0.1
spot040,0.0,0.2
spot041,0.1,0.2
spot042,0.2,0.2
spot043,0.3,0.2
spot044,0.4,0.2
spot045,0.5,0.2
spot046,0.6,0.2
spot047,0.7,0.2
spot048,0.8,0.2
spot049,0.9,0.2
spot050,1.0,0.2
spot051,1.1,0.2
spot052,1.2,0.2
spot053,1.3,0.2
spot054,1.4,0.2
spot055,1.5,0.2
spot056,1.6,0.2
spot057,1.7,0.2
spot058,1.8,0.2
spot059,1.9,0.2
spot060,0.0,0.3
spot061,0.1,0.3
spot062,0.2,0.3
spot063,0.3,0.3
spot064,0.4,0.3
spot065,0.5,0.3
spot066,0.6,0.3
spot067,0.7,0.3
spot068,0.8,0.3
spot069,0.9,0.3
spot070,1.0,0.3
spot071,1.1,0.3
spot072,1.2,0.3
spot073,1.3,0.3
spot074,1.4,0.3
spot075,1.5,0.3
spot076,1.6,0.3
spot077,1.7,0.3
spot078,1.8,0.3
spot079,1.9,0.3
spot080,0.0,0.4
spot081,0.1,0.4
spot082,0.2,0.4
spot083,0.3,0.4
spot084,0.4,0.4
spot085,0.5,0.4
spot086,0.6,0.4
spot087,0.7,0.4
spot088,0.8,0.4
spot089,0.9,0.4
spot090,1.0,0.4
spot091,1.1,0.4
spot092,1.2,0.4
spot093,1.3,0.4
spot094,1.4,0.4
spot095,1.5,0.4
spot096,1.6,0.4
spot097,1.7,0.4
spot098,1.8,0.4
spot099,1.9,0.4
spot100,0.0,0.5
spot101,0.1,0.5
spot102,0.2,0.5
spot103,0.3,0.5
spot104,0.4,0.5
spot105,0.5,0.5
spot106,0.6,0.5
spot107,0.7,0.5
spot108,0.8,0.5
spot109,0.9,0.5
spot110,1.0,0.5
spot111,1.1,0.5
spot112,1.2,0.5
spot113,1.3,0.5
spot114,1.4,0.5
spot115,1.5,0.5
spot116,1.6,0.5
spot117,1.7,0.5
spot118,1.8,0.5
spot119,1.9,0.5
spot120,0.0,0.6
spot121,0.1,0.6
spot122,0.2,0.6
spot123,0.3,0.6
spot124,0.4,0.6
spot125,0.5,0.6
spot126,0.6,0.6
spot127,0.7,0.6
spot128,0.8,0.6
spot129,0.9,0.6
spot130,1.0,0.6
spot131,1.1,0.6
spot132,1.2,0.6
spot133,1.3,0.6
spot134,1.4,0.6
spot135,1.5,0.6
spot136,1.6,0.6
spot137,1.7,0.6
spot138,1.8,0.6
spot139,1.9,0.6
spot140,0.0,0.7
spot141,0.1,0.7
spot142,0.2,0.7
spot143,0.3,0.7
spot144,0.4,0.7
spot145,0.5,0.7
spot146,0.6,0.7
spot147,0.7,0.7
spot148,0.8,0.7
spot149,0.9,0.7
spot150,1.0,0.7
spot151,1.1,0.7
spot152,1.2,0.7
spot153,1.3,0.7
spot154,1.4,0.7
spot155,1.5,0.7
spot156,1.6,0.7
spot157,1.7,0.7
spot158,1.8,0.7
spot159,1.9,0.7
spot160,0.0,0.8
spot161,0.1,0.8
spot162,0.2,0.8
spot163,0.3,0.8
spot164,0.4,0.8
spot165,0.5,0.8
spot166,0.6,0.8
spot167,0.7,0.8
spot168,0.8,0.8
spot169,0.9,0.8
spot170,1.0,0.8
spot171,1.1,0.8
spot172,1.2,0.8
spot173,1.3,0.8
spot174,1.4,0.8
spot175,1.5,0.8
spot176,1.6,0.8
spot177,1.7,0.8
spot178,1.8,0.8
spot179,1.9,0.8
spot180,0.0,0.9
spot181,0.1,0.9
spot182,0.2,0.9
spot183,0.3,0.9
spot184,0.4,0.9
spot185,0.5,0.9
spot186,0.6,0.9
spot187,0.7,0.9
spot188,0.8,0.9
spot189,0.9,0.9
spot190,1.0,0.9
spot191,1.1,0.9
spot192,1.2,0.9
spot193,1.3,0.9
spot194,1.4,0.9
spot195,1.5,0.9
spot196,1.6,0.9
spot197,1.7,0.9
spot198,1.8,0.9
spot199,1.9,0.9
