site,treatment,replicate,analyte,value
site_A,GM_line,1,protein_pct_dw,7.504
site_A,GM_line,1,fat_pct_dw,4.374
site_A,GM_line,1,fiber_pct_dw,2.414
site_A,GM_line,1,ash_pct_dw,1.441
site_A,GM_line,1,carbohydrate_pct_dw,83.323
site_A,GM_line,1,trypsin_inhibitor_mg_g,2.971
site_A,GM_line,1,lectin_hu_mg,1.613
site_A,GM_line,1,iron_mg_kg,53.921
site_A,GM_line,1,zinc_mg_kg,34.898
site_A,GM_line,1,vitamin_b6_mg_kg,5.589
site_A,GM_line,2,protein_pct_dw,7.497
site_A,GM_line,2,fat_pct_dw,4.805
site_A,GM_line,2,fiber_pct_dw,2.005
site_A,GM_line,2,ash_pct_dw,1.447
site_A,GM_line,2,carbohydrate_pct_dw,82.846
site_A,GM_line,2,trypsin_inhibitor_mg_g,4.039
site_A,GM_line,2,lectin_hu_mg,1.591
site_A,GM_line,2,iron_mg_kg,56.072
site_A,GM_line,2,zinc_mg_kg,34.426
site_A,GM_line,2,vitamin_b6_mg_kg,4.388
site_A,GM_line,3,protein_pct_dw,7.964
site_A,GM_line,3,fat_pct_dw,4.393
site_A,GM_line,3,fiber_pct_dw,2.046
site_A,GM_line,3,ash_pct_dw,1.356
site_A,GM_line,3,carbohydrate_pct_dw,83.89
site_A,GM_line,3,trypsin_inhibitor_mg_g,2.741
site_A,GM_line,3,lectin_hu_mg,2.083
site_A,GM_line,3,iron_mg_kg,56.888
site_A,GM_line,3,zinc_mg_kg,26.412
site_A,GM_line,3,vitamin_b6_mg_kg,5.363
site_A,GM_line,4,protein_pct_dw,7.293
site_A,GM_line,4,fat_pct_dw,4.751
site_A,GM_line,4,fiber_pct_dw,2.048
site_A,GM_line,4,ash_pct_dw,1.401
site_A,GM_line,4,carbohydrate_pct_dw,81.965
site_A,GM_line,4,trypsin_inhibitor_mg_g,3.173
site_A,GM_line,4,lectin_hu_mg,2.263
site_A,GM_line,4,iron_mg_kg,50.158
site_A,GM_line,4,zinc_mg_kg,29.571
site_A,GM_line,4,vitamin_b6_mg_kg,5.318
site_A,GM_line,5,protein_pct_dw,8.24
