dose_ng_per_cm2,replicate,n_larvae,alive,proportion_alive
0.0,1,12,12,1.0
0.0,2,12,12,1.0
0.0,3,12,12,1.0
0.0,4,12,12,1.0
0.0,5,12,12,1.0
0.0,6,12,11,0.917
0.0,7,12,11,0.917
0.0,8,12,12,1.0
1.0,1,12,11,0.917
1.0,2,12,12,1.0
1.0,3,12,12,1.0
1.0,4,12,12,1.0
1.0,5,12,12,1.0
1.0,6,12,11,0.917
1.0,7,12,10,0.833
1.0,8,12,12,1.0
3.0,1,12,12,1.0
3.0,2,12,11,0.917
3.0,3,12,12,1.0
3.0,4,12,12,1.0
3.0,5,12,10,0.833
3.0,6,12,11,0.917
3.0,7,12,10,0.833
3.0,8,12,12,1.0
10.0,1,12,12,1.0
10.0,2,12,11,0.917
10.0,3,12,9,0.75
10.0,4,12,12,1.0
10.0,5,12,12,1.0
10.0,6,12,12,1.0
10.0,7,12,10,0.833
10.0,8,12,10,0.833
30.0,1,12,7,0.583
30.0,2,12,10,0.833
30.0,3,12,7,0.583
30.0,4,12,8,0.667
30.0,5,12,9,0.75
30.0,6,12,9,0.75
30.0,7,12,8,0.667
30.0,8,12,8,0.667
100.0,1,12,7,0.583
100.0,2,12,3,0.25
100.0,3,12,3,0.25
100.0,4,12,4,0.333
100.0,5,12,4,0.333
100.0,6,12,0,0.0
100.0,7,12,4,0.333
100.0,8,12,2,0.167
300.0,1,12,2,0.167
300.0,2,12,3,0.25
300.0,3,12,2,0.167
300.0,4,12,2,0.167
300.0,5,12,1,0.083
300.0,6,12,2,0.167
300.0,7,12,1,0.083
300.0,8,12,4,0.333
