day,compartment,protein_ng_per_g_or_L
0,rhizosphere_soil,18.468
10,rhizosphere_soil,12.388
20,rhizosphere_soil,7.538
30,rhizosphere_soil,4.252
40,rhizosphere_soil,3.29
50,rhizosphere_soil,2.291
60,rhizosphere_soil,1.125
70,rhizosphere_soil,0.601
80,rhizosphere_soil,0.521
90,rhizosphere_soil,0.301
100,rhizosphere_soil,0.197
110,rhizosphere_soil,0.136
120,rhizosphere_soil,0.077
130,rhizosphere_soil,0.05
140,rhizosphere_soil,0.05
150,rhizosphere_soil,0.05
160,rhizosphere_soil,0.05
0,crop_debris,35.772
10,crop_debris,29.452
20,crop_debris,28.624
30,crop_debris,19.926
40,crop_debris,15.334
50,crop_debris,16.629
60,crop_debris,13.689
70,crop_debris,9.9
80,crop_debris,8.778
90,crop_debris,7.099
100,crop_debris,6.095
110,crop_debris,4.991
120,crop_debris,2.619
130,crop_debris,3.029
140,crop_debris,2.713
150,crop_debris,1.988
160,crop_debris,1.719
0,adjacent_runoff_water,0.981
10,adjacent_runoff_water,0.274
20,adjacent_runoff_water,0.096
30,adjacent_runoff_water,0.05
40,adjacent_runoff_water,0.05
50,adjacent_runoff_water,0.05
60,adjacent_runoff_water,0.05
70,adjacent_runoff_water,0.05
80,adjacent_runoff_water,0.05
90,adjacent_runoff_water,0.05
100,adjacent_runoff_water,0.05
110,adjacent_runoff_water,0.05
120,adjacent_runoff_water,0.05
130,adjacent_runoff_water,0.05
140,adjacent_runoff_water,0.05
150,adjacent_runoff_water,0.05
160,adjacent_runoff_water,0.05
0,pollen_trap,5.595
10,pollen_trap,7.273
20,pollen_trap,7.959
30,pollen_trap,5.014
40,pollen_trap,4.112
50,pollen_trap,4.71
60,pollen_trap,6.315
70,pollen_trap,8.554
80,pollen_trap,7.452
90,pollen_trap,5.724
100,pollen_trap,4.045
110,pollen_trap,6.171
120,pollen_trap,6.063
130,pollen_trap,6.43
140,pollen_trap,5.36
150,pollen_trap,4.532
160,pollen_trap,5.057
