distance_m,replicate,seeds_screened,hybrid_seeds,flow_frequency
1.0,1,36714,930,0.0253309
1.0,2,42191,1146,0.0271622
1.0,3,40211,1019,0.0253413
1.0,4,43804,1100,0.0251119
1.0,5,42252,1080,0.0255609
2.0,1,41150,955,0.0232078
2.0,2,43103,983,0.0228058
2.0,3,36510,897,0.0245686
2.0,4,40372,965,0.0239027
2.0,5,37234,881,0.0236612
5.0,1,42365,748,0.0176561
5.0,2,37515,659,0.0175663
5.0,3,43522,763,0.0175314
5.0,4,39497,702,0.0177735
5.0,5,43184,825,0.0191043
10.0,1,38306,455,0.011878
10.0,2,42374,501,0.0118233
10.0,3,42295,476,0.0112543
10.0,4,40044,467,0.0116622
10.0,5,40549,490,0.0120841
20.0,1,42840,214,0.0049953
20.0,2,40521,207,0.0051085
20.0,3,38779,185,0.0047706
20.0,4,39493,205,0.0051908
20.0,5,42573,209,0.0049092
50.0,1,36466,20,0.0005485
50.0,2,37010,22,0.0005944
50.0,3,40456,22,0.0005438
50.0,4,39273,24,0.0006111
50.0,5,39251,16,0.0004076
100.0,1,38674,4,0.0001034
100.0,2,36181,9,0.0002487
100.0,3,41574,6,0.0001443
100.0,4,39695,8,0.0002015
100.0,5,43504,10,0.0002299
200.0,1,37218,7,0.0001881
200.0,2,37329,6,0.0001607
200.0,3,39048,9,0.0002305
200.0,4,40857,4,9.79e-05
200.0,5,38894,5,0.0001286
