time_point,treatment,plot,otu,read_count
day_30,Bt_maize,1,OTU001,7
day_30,Bt_maize,1,OTU002,6
day_30,Bt_maize,1,OTU003,31
day_30,Bt_maize,1,OTU004,10
day_30,Bt_maize,1,OTU005,9
day_30,Bt_maize,1,OTU006,17
day_30,Bt_maize,1,OTU007,5
day_30,Bt_maize,1,OTU008,46
day_30,Bt_maize,1,OTU009,8
day_30,Bt_maize,1,OTU010,53
day_30,Bt_maize,1,OTU011,13
day_30,Bt_maize,1,OTU012,6
day_30,Bt_maize,1,OTU013,13
day_30,Bt_maize,1,OTU014,2
day_30,Bt_maize,1,OTU015,12
day_30,Bt_maize,1,OTU016,22
day_30,Bt_maize,1,OTU017,2
day_30,Bt_maize,1,OTU018,21
day_30,Bt_maize,1,OTU019,35
day_30,Bt_maize,1,OTU020,11
day_30,Bt_maize,1,OTU021,32
day_30,Bt_maize,1,OTU022,42
day_30,Bt_maize,1,OTU023,35
day_30,Bt_maize,1,OTU024,3
day_30,Bt_maize,1,OTU025,4
day_30,Bt_maize,1,OTU026,12
day_30,Bt_maize,1,OTU027,5
day_30,Bt_maize,1,OTU028,25
day_30,Bt_maize,1,OTU029,30
day_30,Bt_maize,1,OTU030,5
day_30,Bt_maize,1,OTU031,1
day_30,Bt_maize,1,OTU032,21
day_30,Bt_maize,1,OTU033,6
day_30,Bt_maize,1,OTU034,26
day_30,Bt_maize,1,OTU035,18
day_30,Bt_maize,1,OTU036,12
day_30,Bt_maize,1,OTU037,10
day_30,Bt_maize,1,OTU038,10
day_30,Bt_maize,1,OTU039,12
day_30,Bt_maize,1,OTU040,14
day_30,Bt_maize,2,OTU001,9
day_30,Bt_maize,2,OTU002,0
day_30,Bt_maize,2,OTU003,2
day_30,Bt_maize,2,OTU004,6
day_30,Bt_maize,2,OTU005,2
day_30,Bt_maize,2,OTU006,19
day_30,Bt_maize,2,OTU007,8
day_30,Bt_maize,2,OTU008,9
day_30,Bt_maize,2,OTU009,4
day_30,Bt_maize,2,OTU010,5
day_30,Bt_maize,2,OTU011,10
day_30,Bt_maize,2,OTU012,9
day_30,Bt_maize,2,OTU013,16
day_30,Bt_maize,2,OTU014,3
day_30,Bt_maize,2,OTU015,14
day_30,Bt_maize,2,OTU016,8
day_30,Bt_maize,2,OTU017,53
day_30,Bt_maize,2,OTU018,9
day_30,Bt_maize,2,OTU019,0
day_30,Bt_maize,2,OTU020,10
day_30,Bt_maize,2,OTU021,12
day_30,Bt_maize,2,OTU022,6
day_30,Bt_maize,2,OTU023,2
day_30,Bt_maize,2,OTU024,13
day_30,Bt_maize,2,OTU025,8
day_30,Bt_maize,2,OTU026,7
day_30,Bt_maize,2,OTU027,8
day_30,Bt_maize,2,OTU028,28
day_30,Bt_maize,2,OTU029,11
day_30,Bt_maize,2,OTU030,26
day_30,Bt_maize,2,OTU031,11
day_30,Bt_maize,2,OTU032,16
day_30,Bt_maize,2,OTU033,16
day_30,Bt_maize,2,OTU034,20
day_30,Bt_maize,2,OTU035,12
day_30,Bt_maize,2,OTU036,4
day_30,Bt_maize,2,OTU037,2
day_30,Bt_maize,2,OTU038,4
day_30,Bt_maize,2,OTU039,3
day_30,Bt_maize,2,OTU040,2
day_30,Bt_maize,3,OTU001,8
day_30,Bt_maize,3,OTU002,3
day_30,Bt_maize,3,OTU003,2
day_30,Bt_maize,3,OTU004,3
day_30,Bt_maize,3,OTU005,2
day_30,Bt_maize,3,OTU006,1
day_30,Bt_maize,3,OTU007,22
day_30,Bt_maize,3,OTU008,11
day_30,Bt_maize,3,OTU009,14
day_30,Bt_maize,3,OTU010,11
day_30,Bt_maize,3,OTU011,7
day_30,Bt_maize,3,OTU012,3
day_30,Bt_maize,3,OTU013,9
day_30,Bt_maize,3,OTU014,16
day_30,Bt_maize,3,OTU015,13
day_30,Bt_maize,3,OTU016,9
day_30,Bt_maize,3,OTU017,28
day_30,Bt_maize,3,OTU018,2
day_30,Bt_maize,3,OTU019,28
day_30,Bt_maize,3,OTU020,5
day_30,Bt_maize,3,OTU021,47
day_30,Bt_maize,3,OTU022,10
day_30,Bt_maize,3,OTU023,9
day_30,Bt_maize,3,OTU024,2
day_30,Bt_maize,3,OTU025,13
day_30,Bt_maize,3,OTU026,1
day_30,Bt_maize,3,OTU027,9
day_30,Bt_maize,3,OTU028,2
day_30,Bt_maize,3,OTU029,11
day_30,Bt_maize,3,OTU030,6
day_30,Bt_maize,3,OTU031,20
day_30,Bt_maize,3,OTU032,26
day_30,Bt_maize,3,OTU033,7
day_30,Bt_maize,3,OTU034,7
day_30,Bt_maize,3,OTU035,27
day_30,Bt_maize,3,OTU036,14
day_30,Bt_maize,3,OTU037,8
day_30,Bt_maize,3,OTU038,36
day_30,Bt_maize,3,OTU039,5
day_30,Bt_maize,3,OTU040,1
day_30,Bt_maize,4,OTU001,15
day_30,Bt_maize,4,OTU002,12
day_30,Bt_maize,4,OTU003,15
day_30,Bt_maize,4,OTU004,12
