run,isolation_distance_m,baseline_outcross_rate,wild_host_area_ha,refuge_compliance_pct,hybrid_seed_rain_index
1,106.9,0.02335,8.5,4.4,1.453
2,173.2,0.02677,37.4,15.1,0.16
3,78.0,0.00344,74.4,9.5,3.113
4,165.5,0.02122,72.2,26.6,0.285
5,11.3,0.02909,54.5,5.7,567.312
6,59.6,0.01764,77.8,6.6,43.538
7,15.6,0.0073,10.8,20.6,66.992
8,6.3,0.02996,11.8,2.7,329.02
9,183.8,0.00607,65.7,22.0,0.033
10,143.4,0.01073,69.3,8.0,0.358
11,125.0,0.00599,81.5,19.8,0.624
12,106.5,0.01447,18.1,26.2,1.646
13,113.9,0.01315,51.7,18.3,1.826
14,127.7,0.01525,66.1,6.4,1.028
15,165.3,0.02791,22.4,1.5,0.124
16,119.4,0.01487,51.7,1.3,1.273
17,149.7,0.01592,63.8,2.7,0.319
18,56.2,0.02671,21.4,17.4,43.46
19,195.4,0.02471,37.6,10.4,0.037
20,6.4,0.00795,21.6,7.3,119.18
21,77.3,0.00137,90.3,6.6,1.391
22,176.4,0.01926,23.7,28.5,0.075
23,36.1,0.0255,12.1,3.6,63.329
24,28.3,0.01703,3.5,9.1,62.192
25,73.1,0.00712,4.5,14.1,2.719
26,85.6,0.0225,19.2,0.0,5.144
27,186.7,0.02042,60.8,27.6,0.077
28,167.2,0.01739,1.8,3.0,0.039
29,92.8,0.02604,28.7,20.5,6.924
30,194.6,0.02374,5.8,18.9,0.022
31,128.5,0.02037,40.4,24.3,1.193
32,174.7,0.02028,4.9,19.5,0.042
33,49.2,0.0202,60.8,23.1,81.338
34,97.8,0.01623,68.8,12.6,6.006
35,5.9,0.01445,73.1,14.7,592.589
36,1.8,0.02158,22.4,21.0,429.369
37,141.1,0.0187,86.9,17.1,0.868
38,23.7,0.01521,69.0,15.3,205.05
39,109.6,0.00467,5.7,6.2,0.267
40,139.2,0.02136,44.1,7.7,0.571
41,6.4,0.01973,76.8,10.8,778.692
42,89.7,0.01093,31.1,0.3,2.78
43,136.8,0.01133,38.2,12.5,0.366
44,177.9,0.00815,63.0,0.1,0.044
45,59.8,0.0289,5.5,17.0,22.69
46,194.8,0.02595,96.7,21.1,0.104
47,168.9,0.01727,17.4,16.9,0.076
48,130.1,0.01265,2.7,20.8,0.251
49,78.4,0.02237,0.5,0.0,4.314
50,142.2,0.0163,40.0,1.8,0.418
51,163.2,0.0293,88.4,21.0,0.538
52,60.7,0.0026,82.0,24.1,7.671
53,198.6,0.00199,91.2,21.5,0.006
54,181.7,0.01749,53.4,19.9,0.089
55,97.1,0.0069,44.9,21.2,1.811
56,144.6,0.01852,38.6,22.2,0.41
57,104.8,0.02366,4.6,21.7,1.935
58,152.2,0.00501,91.0,22.1,0.182
59,165.4,0.01378,49.6,2.2,0.126
60,4.6,0.02097,45.5,1.9,466.253
61,15.8,0.02518,51.5,10.8,390.167
62,67.3,0.01539,79.4,15.8,24.406
63,183.5,0.00698,22.4,22.9,0.019
64,79.7,0.01799,71.0,10.0,15.219
65,177.5,0.01418,71.1,8.3,0.092
66,92.5,0.02339,85.0,23.4,15.055
67,57.8,0.01711,0.9,7.5,10.908
68,180.1,0.0091,17.0,24.6,0.028
69,112.1,0.02288,47.1,5.3,2.49
70,72.1,0.01601,85.1,10.8,23.587
71,8.9,0.00615,96.5,12.0,220.8
72,22.2,0.01733,59.5,9.0,230.214
73,27.9,0.0285,21.2,0.1,135.008
74,73.0,0.02146,18.5,7.1,10.915
75,121.5,0.00967,63.9,10.1,0.985
76,61.5,0.02162,21.0,9.4,18.568
77,13.1,0.0092,55.3,23.6,195.448
78,53.0,0.01674,83.5,1.4,51.493
79,81.7,0.01627,39.0,11.7,7.388
80,198.5,0.00817,37.8,1.1,0.01
81,78.6,0.01109,3.6,27.9,3.544
82,17.8,0.02832,25.4,23.7,360.758
83,116.2,0.00827,69.8,29.5,1.416
84,183.9,0.02423,36.0,27.3,0.094
85,157.3,0.02035,15.8,9.5,0.151
86,167.2,0.01645,10.6,20.7,0.07
87,185.6,0.00499,9.5,9.2,0.007
88,127.3,0.00693,65.9,26.6,0.663
89,199.0,0.00619,61.3,12.3,0.013
90,6.7,0.01802,51.9,11.3,466.695
91,167.0,0.02923,50.0,27.4,0.263
92,171.4,0.02644,15.3,25.1,0.099
93,183.3,0.00173,50.1,29.0,0.008
94,95.6,0.00894,6.0,2.0,0.78
95,157.6,0.00556,92.6,7.3,0.127
96,39.0,0.02929,5.8,9.0,61.849
97,120.6,0.00783,42.4,12.7,0.583
98,71.7,0.00684,0.1,14.2,2.139
99,119.2,0.01901,78.6,8.7,2.515
100,135.1,0.01713,16.6,23.7,0.422
101,69.4,0.00755,92.5,6.7,11.266
102,43.2,0.02044,4.4,20.9,35.0
103,64.3,0.00381,82.1,25.6,9.419
104,132.8,0.00156,65.7,18.1,0.101
105,135.4,0.00339,25.0,10.6,0.1
106,148.3,0.01158,20.2,5.6,0.15
