species,functional_group,treatment,replicate,n_exposed,alive,proportion_alive
honeybee_adult,pollinator,non-Bt_pollen,1,10,8,0.8
honeybee_adult,pollinator,non-Bt_pollen,2,10,8,0.8
honeybee_adult,pollinator,non-Bt_pollen,3,10,9,0.9
honeybee_adult,pollinator,Bt_pollen,1,10,10,1.0
honeybee_adult,pollinator,Bt_pollen,2,10,7,0.7
honeybee_adult,pollinator,Bt_pollen,3,10,9,0.9
ladybeetle_adult,predator,non-Bt_pollen,1,10,9,0.9
ladybeetle_adult,predator,non-Bt_pollen,2,10,9,0.9
ladybeetle_adult,predator,non-Bt_pollen,3,10,10,1.0
ladybeetle_adult,predator,Bt_pollen,1,10,10,1.0
ladybeetle_adult,predator,Bt_pollen,2,10,8,0.8
ladybeetle_adult,predator,Bt_pollen,3,10,9,0.9
green_lacewing_larva,predator,non-Bt_pollen,1,10,9,0.9
green_lacewing_larva,predator,non-Bt_pollen,2,10,9,0.9
green_lacewing_larva,predator,non-Bt_pollen,3,10,8,0.8
green_lacewing_larva,predator,Bt_pollen,1,10,9,0.9
green_lacewing_larva,predator,Bt_pollen,2,10,7,0.7
green_lacewing_larva,predator,Bt_pollen,3,10,8,0.8
parasitoid_wasp,parasitoid,non-Bt_pollen,1,10,8,0.8
parasitoid_wasp,parasitoid,non-Bt_pollen,2,10,9,0.9
parasitoid_wasp,parasitoid,non-Bt_pollen,3,10,9,0.9
parasitoid_wasp,parasitoid,Bt_pollen,1,10,9,0.9
parasitoid_wasp,parasitoid,Bt_pollen,2,10,8,0.8
parasitoid_wasp,parasitoid,Bt_pollen,3,10,10,1.0
springtail,detritivore,non-Bt_pollen,1,10,10,1.0
springtail,detritivore,non-Bt_pollen,2,10,10,1.0
springtail,detritivore,non-Bt_pollen,3,10,9,0.9
springtail,detritivore,Bt_pollen,1,10,10,1.0
springtail,detritivore,Bt_pollen,2,10,10,1.0
springtail,detritivore,Bt_pollen,3,10,10,1.0
