generation,regime,moths_genotyped,resistance_alleles,allele_frequency
0,no_refuge,935,0,0.0
1,no_refuge,1017,1,0.000983
2,no_refuge,1097,0,0.0
3,no_refuge,1016,0,0.0
4,no_refuge,958,2,0.002088
5,no_refuge,904,0,0.0
6,no_refuge,993,0,0.0
7,no_refuge,1056,1,0.000947
8,no_refuge,1034,4,0.003868
9,no_refuge,998,3,0.003006
10,no_refuge,1008,2,0.001984
11,no_refuge,994,4,0.004024
12,no_refuge,1009,7,0.006938
13,no_refuge,1004,4,0.003984
14,no_refuge,972,19,0.019547
15,no_refuge,1065,17,0.015962
16,no_refuge,960,21,0.021875
17,no_refuge,1010,47,0.046535
18,no_refuge,1022,61,0.059687
19,no_refuge,1083,70,0.064635
20,no_refuge,961,105,0.109261
0,structured_refuge_50pct,1065,1,0.000939
1,structured_refuge_50pct,1026,0,0.0
2,structured_refuge_50pct,958,0,0.0
3,structured_refuge_50pct,1098,0,0.0
4,structured_refuge_50pct,1087,0,0.0
5,structured_refuge_50pct,959,2,0.002086
6,structured_refuge_50pct,987,1,0.001013
7,structured_refuge_50pct,918,1,0.001089
8,structured_refuge_50pct,1049,1,0.000953
9,structured_refuge_50pct,923,0,0.0
10,structured_refuge_50pct,1003,1,0.000997
11,structured_refuge_50pct,967,0,0.0
12,structured_refuge_50pct,1032,0,0.0
13,structured_refuge_50pct,1047,0,0.0
14,structured_refuge_50pct,1049,3,0.00286
15,structured_refuge_50pct,1089,0,0.0
16,structured_refuge_50pct,948,2,0.00211
17,structured_refuge_50pct,1078,0,0.0
18,structured_refuge_50pct,930,2,0.002151
19,structured_refuge_50pct,1043,1,0.000959
20,structured_refuge_50pct,1074,2,0.001862
