year,management_system,fields_scouted,new_resistant_patches
2012,continuous_glyphosate,120,4
2013,continuous_glyphosate,120,7
2014,continuous_glyphosate,120,11
2015,continuous_glyphosate,120,16
2016,continuous_glyphosate,120,12
2017,continuous_glyphosate,120,7
2018,continuous_glyphosate,120,17
2019,continuous_glyphosate,120,18
2020,continuous_glyphosate,120,20
2021,continuous_glyphosate,120,18
2022,continuous_glyphosate,120,24
2023,continuous_glyphosate,120,18
2024,continuous_glyphosate,120,20
2025,continuous_glyphosate,120,28
2012,rotated_systems,120,0
2013,rotated_systems,120,0
2014,rotated_systems,120,2
2015,rotated_systems,120,0
2016,rotated_systems,120,1
2017,rotated_systems,120,1
2018,rotated_systems,120,0
2019,rotated_systems,120,1
2020,rotated_systems,120,0
2021,rotated_systems,120,0
2022,rotated_systems,120,0
2023,rotated_systems,120,0
2024,rotated_systems,120,0
2025,rotated_systems,120,0
